region,score
City of Banyule,68
City of Bayside,70
City of Boroondara,70
City of Brimbank,65
Cardinia Shire,61
City of Casey,57
City of Greater Dandenong,68
City of Darebin,66
City of Frankston,67
City of Glen Eira,68
City of Hobsons Bay,67
City of Hume,66
City of Kingston,66
City of Knox,66
City of Manningham,67
City of Maribyrnong,69
City of Maroondah,65
City of Melbourne,73
City of Melton,76
City of Monash,69
City of Moonee Valley,67
City of Moreland,61
Mornington Peninsula Shire,61
Nillumbik Shire,64
City of Port Phillip,65
City of Stonnington,70
City of Whitehorse,69
City of Whittlesea,72
City of Wyndham,68
City of Yarra,68
Yarra Ranges Shire,62
